source_primal,as_of,boxes_on_hand,velocity_tier
Blade Eyes,2025-10-06,0.0,best
Tenderloin,2025-10-07,1.5,low
Shank,2025-10-07,5.7,low
Wagyu Flat Iron,2025-10-07,5.5,low
6X6 Frenched,2025-10-07,5.7,low
Plate,2025-10-07,5.5,low
Flank,2025-10-07,0.0,low
Bone-in Ribeye,2025-10-07,8.4,medium
Brisket,2025-10-07,10.8,medium
Pork Shoulder,2025-10-07,10.1,medium
Top Sirloin Butt,2025-10-07,11.5,medium
Round,2025-10-07,10.8,medium
Striploin Whole,2025-10-07,9.4,medium
Pork Loin,2025-10-07,20.3,best
Chuck Flat,2025-10-07,22.8,best
Pork Belly,2025-10-07,20.6,best
Chuck Primal,2025-10-07,21.0,best
Blade Eyes,2025-10-07,0.0,best
Tenderloin,2025-10-08,1.4,low
Shank,2025-10-08,5.7,low
Wagyu Flat Iron,2025-10-08,5.7,low
6X6 Frenched,2025-10-08,5.7,low
Plate,2025-10-08,5.1,low
Flank,2025-10-08,0.0,low
Bone-in Ribeye,2025-10-08,10.8,medium
Brisket,2025-10-08,10.6,medium
Pork Shoulder,2025-10-08,8.4,medium
Top Sirloin Butt,2025-10-08,10.0,medium
Round,2025-10-08,8.8,medium
Striploin Whole,2025-10-08,10.7,medium
Pork Loin,2025-10-08,20.2,best
Chuck Flat,2025-10-08,23.8,best
Pork Belly,2025-10-08,24.7,best
Chuck Primal,2025-10-08,20.7,best
Blade Eyes,2025-10-08,0.0,best
Tenderloin,2025-10-09,1.6,low
Shank,2025-10-09,5.2,low
Wagyu Flat Iron,2025-10-09,5.0,low
6X6 Frenched,2025-10-09,5.6,low
Plate,2025-10-09,4.8,low
Flank,2025-10-09,0.0,low
Bone-in Ribeye,2025-10-09,9.5,medium
Brisket,2025-10-09,10.1,medium
Pork Shoulder,2025-10-09,10.8,medium
Top Sirloin Butt,2025-10-09,9.3,medium
Round,2025-10-09,8.5,medium
Striploin Whole,2025-10-09,9.2,medium
Pork Loin,2025-10-09,22.6,best
Chuck Flat,2025-10-09,20.7,best
Pork Belly,2025-10-09,22.4,best
Chuck Primal,2025-10-09,19.9,best
Blade Eyes,2025-10-09,21.1,best
Tenderloin,2025-10-10,1.6,low
Shank,2025-10-10,5.6,low
Wagyu Flat Iron,2025-10-10,5.2,low
6X6 Frenched,2025-10-10,5.7,low
Plate,2025-10-10,5.3,low
Flank,2025-10-10,0.0,low
Bone-in Ribeye,2025-10-10,10.1,medium
Brisket,2025-10-10,9.0,medium
Pork Shoulder,2025-10-10,9.9,medium
Top Sirloin Butt,2025-10-10,8.9,medium
Round,2025-10-10,9.5,medium
Striploin Whole,2025-10-10,11.2,medium
Pork Loin,2025-10-10,21.6,best
Chuck Flat,2025-10-10,20.7,best
Pork Belly,2025-10-10,21.8,best
Chuck Primal,2025-10-10,21.2,best
Blade Eyes,2025-10-10,20.7,best
Tenderloin,2025-10-11,1.6,low
Shank,2025-10-11,5.4,low
Wagyu Flat Iron,2025-10-11,4.3,low
6X6 Frenched,2025-10-11,3.6,low
Plate,2025-10-11,5.1,low
Flank,2025-10-11,0.0,low
Bone-in Ribeye,2025-10-11,8.7,medium
Brisket,2025-10-11,10.9,medium
Pork Shoulder,2025-10-11,8.5,medium
Top Sirloin Butt,2025-10-11,9.0,medium
Round,2025-10-11,10.1,medium
Striploin Whole,2025-10-11,10.1,medium
Pork Loin,2025-10-11,20.5,best
Chuck Flat,2025-10-11,21.6,best
Pork Belly,2025-10-11,20.8,best
Chuck Primal,2025-10-11,19.8,best
Blade Eyes,2025-10-11,18.2,best
Tenderloin,2025-10-12,0.7,low
Shank,2025-10-12,2.8,low
Wagyu Flat Iron,2025-10-12,0.0,low
6X6 Frenched,2025-10-12,1.2,low
Plate,2025-10-12,0.0,low
Flank,2025-10-12,0.0,low
Bone-in Ribeye,2025-10-12,4.9,medium
Brisket,2025-10-12,7.7,medium
Pork Shoulder,2025-10-12,3.4,medium
Top Sirloin Butt,2025-10-12,4.3,medium
Round,2025-10-12,1.1,medium
Striploin Whole,2025-10-12,1.8,medium
Pork Loin,2025-10-12,5.9,best
Chuck Flat,2025-10-12,11.5,best
Pork Belly,2025-10-12,0.6,best
Chuck Primal,2025-10-12,0.0,best
Blade Eyes,2025-10-12,0.0,best
Tenderloin,2025-10-14,1.7,low
Shank,2025-10-14,4.5,low
Wagyu Flat Iron,2025-10-14,0.0,low
6X6 Frenched,2025-10-14,0.0,low
Plate,2025-10-14,4.5,low
Flank,2025-10-14,0.0,low
Bone-in Ribeye,2025-10-14,10.3,medium
Brisket,2025-10-14,8.3,medium
Pork Shoulder,2025-10-14,9.7,medium
Top Sirloin Butt,2025-10-14,8.7,medium
Round,2025-10-14,9.6,medium
Striploin Whole,2025-10-14,9.3,medium
Pork Loin,2025-10-14,24.1,best
Chuck Flat,2025-10-14,21.8,best
Pork Belly,2025-10-14,16.5,best
Chuck Primal,2025-10-14,24.2,best
Blade Eyes,2025-10-14,17.3,best
Tenderloin,2025-10-15,1.8,low
Shank,2025-10-15,5.5,low
Wagyu Flat Iron,2025-10-15,0.0,low
6X6 Frenched,2025-10-15,4.4,low
Plate,2025-10-15,5.1,low
Flank,2025-10-15,4.3,low
Bone-in Ribeye,2025-10-15,9.5,medium
Brisket,2025-10-15,10.7,medium
Pork Shoulder,2025-10-15,9.2,medium
Top Sirloin Butt,2025-10-15,10.7,medium
Round,2025-10-15,8.2,medium
Striploin Whole,2025-10-15,7.8,medium
Pork Loin,2025-10-15,22.6,best
Chuck Flat,2025-10-15,20.6,best
Pork Belly,2025-10-15,18.4,best
Chuck Primal,2025-10-15,21.1,best
Blade Eyes,2025-10-15,22.0,best
Tenderloin,2025-10-16,1.6,low
Shank,2025-10-16,5.0,low
Wagyu Flat Iron,2025-10-16,0.0,low
6X6 Frenched,2025-10-16,5.1,low
Plate,2025-10-16,5.5,low
Flank,2025-10-16,4.6,low
Bone-in Ribeye,2025-10-16,8.7,medium
Brisket,2025-10-16,10.6,medium
Pork Shoulder,2025-10-16,9.8,medium
Top Sirloin Butt,2025-10-16,10.1,medium
Round,2025-10-16,4.3,medium
Striploin Whole,2025-10-16,11.1,medium
Pork Loin,2025-10-16,23.0,best
Chuck Flat,2025-10-16,20.3,best
Pork Belly,2025-10-16,22.9,best
Chuck Primal,2025-10-16,22.4,best
Blade Eyes,2025-10-16,21.9,best
Tenderloin,2025-10-17,1.3,low
Shank,2025-10-17,5.5,low
Wagyu Flat Iron,2025-10-17,0.0,low
6X6 Frenched,2025-10-17,5.1,low
Plate,2025-10-17,5.6,low
Flank,2025-10-17,5.5,low
Bone-in Ribeye,2025-10-17,8.1,medium
Brisket,2025-10-17,10.2,medium
Pork Shoulder,2025-10-17,9.5,medium
Top Sirloin Butt,2025-10-17,10.4,medium
Round,2025-10-17,0.5,medium
Striploin Whole,2025-10-17,8.3,medium
Pork Loin,2025-10-17,21.0,best
Chuck Flat,2025-10-17,23.4,best
Pork Belly,2025-10-17,20.4,best
Chuck Primal,2025-10-17,21.3,best
Blade Eyes,2025-10-17,19.9,best
Tenderloin,2025-10-18,1.6,low
Shank,2025-10-18,5.6,low
Wagyu Flat Iron,2025-10-18,5.7,low
6X6 Frenched,2025-10-18,5.3,low
Plate,2025-10-18,5.6,low
Flank,2025-10-18,5.2,low
Bone-in Ribeye,2025-10-18,10.0,medium
Brisket,2025-10-18,9.2,medium
Pork Shoulder,2025-10-18,8.9,medium
Top Sirloin Butt,2025-10-18,8.8,medium
Round,2025-10-18,0.0,medium
Striploin Whole,2025-10-18,9.6,medium
Pork Loin,2025-10-18,22.9,best
Chuck Flat,2025-10-18,21.2,best
Pork Belly,2025-10-18,21.8,best
Chuck Primal,2025-10-18,20.4,best
Blade Eyes,2025-10-18,18.8,best
Tenderloin,2025-10-19,1.1,low
Shank,2025-10-19,4.1,low
Wagyu Flat Iron,2025-10-19,2.8,low
6X6 Frenched,2025-10-19,3.9,low
Plate,2025-10-19,2.5,low
Flank,2025-10-19,2.4,low
Bone-in Ribeye,2025-10-19,7.8,medium
Brisket,2025-10-19,7.3,medium
Pork Shoulder,2025-10-19,5.9,medium
Top Sirloin Butt,2025-10-19,6.1,medium
Round,2025-10-19,0.0,medium
Striploin Whole,2025-10-19,4.7,medium
Pork Loin,2025-10-19,14.3,best
Chuck Flat,2025-10-19,15.3,best
Pork Belly,2025-10-19,10.0,best
Chuck Primal,2025-10-19,8.2,best
Blade Eyes,2025-10-19,1.6,best
Tenderloin,2025-10-20,1.7,low
Shank,2025-10-20,5.2,low
Wagyu Flat Iron,2025-10-20,4.5,low
6X6 Frenched,2025-10-20,5.8,low
Plate,2025-10-20,4.9,low
Flank,2025-10-20,5.5,low
Bone-in Ribeye,2025-10-20,8.4,medium
Brisket,2025-10-20,9.3,medium
Pork Shoulder,2025-10-20,8.3,medium
Top Sirloin Butt,2025-10-20,9.5,medium
Round,2025-10-20,9.4,medium
Striploin Whole,2025-10-20,7.7,medium
Pork Loin,2025-10-20,19.1,best
Chuck Flat,2025-10-20,23.4,best
Pork Belly,2025-10-20,21.7,best
Chuck Primal,2025-10-20,22.1,best
Blade Eyes,2025-10-20,18.1,best
Tenderloin,2025-10-21,1.5,low
Shank,2025-10-21,5.4,low
Wagyu Flat Iron,2025-10-21,5.2,low
6X6 Frenched,2025-10-21,5.8,low
Plate,2025-10-21,5.1,low
Flank,2025-10-21,5.6,low
Bone-in Ribeye,2025-10-21,10.8,medium
Brisket,2025-10-21,9.4,medium
Pork Shoulder,2025-10-21,8.7,medium
Top Sirloin Butt,2025-10-21,8.0,medium
Round,2025-10-21,9.1,medium
Striploin Whole,2025-10-21,11.1,medium
Pork Loin,2025-10-21,22.7,best
Chuck Flat,2025-10-21,20.1,best
Pork Belly,2025-10-21,23.8,best
Chuck Primal,2025-10-21,22.7,best
Blade Eyes,2025-10-21,23.7,best
Tenderloin,2025-10-22,1.3,low
Shank,2025-10-22,5.2,low
Wagyu Flat Iron,2025-10-22,5.1,low
6X6 Frenched,2025-10-22,5.3,low
Plate,2025-10-22,5.2,low
Flank,2025-10-22,5.6,low
Bone-in Ribeye,2025-10-22,9.5,medium
Brisket,2025-10-22,10.5,medium
Pork Shoulder,2025-10-22,11.2,medium
Top Sirloin Butt,2025-10-22,6.5,medium
Round,2025-10-22,8.7,medium
Striploin Whole,2025-10-22,8.5,medium
Pork Loin,2025-10-22,20.2,best
Chuck Flat,2025-10-22,23.1,best
Pork Belly,2025-10-22,24.3,best
Chuck Primal,2025-10-22,21.7,best
Blade Eyes,2025-10-22,24.1,best
Tenderloin,2025-10-23,1.5,low
Shank,2025-10-23,5.6,low
Wagyu Flat Iron,2025-10-23,3.4,low
6X6 Frenched,2025-10-23,4.9,low
Plate,2025-10-23,5.2,low
Flank,2025-10-23,5.4,low
Bone-in Ribeye,2025-10-23,9.8,medium
Brisket,2025-10-23,10.9,medium
Pork Shoulder,2025-10-23,10.5,medium
Top Sirloin Butt,2025-10-23,5.0,medium
Round,2025-10-23,8.5,medium
Striploin Whole,2025-10-23,11.1,medium
Pork Loin,2025-10-23,20.8,best
Chuck Flat,2025-10-23,20.2,best
Pork Belly,2025-10-23,21.9,best
Chuck Primal,2025-10-23,21.4,best
Blade Eyes,2025-10-23,19.9,best
Tenderloin,2025-10-24,1.5,low
Shank,2025-10-24,5.8,low
Wagyu Flat Iron,2025-10-24,1.8,low
6X6 Frenched,2025-10-24,5.6,low
Plate,2025-10-24,5.4,low
Flank,2025-10-24,5.4,low
Bone-in Ribeye,2025-10-24,9.4,medium
Brisket,2025-10-24,9.9,medium
Pork Shoulder,2025-10-24,9.7,medium
Top Sirloin Butt,2025-10-24,8.8,medium
Round,2025-10-24,7.9,medium
Striploin Whole,2025-10-24,11.0,medium
Pork Loin,2025-10-24,20.0,best
Chuck Flat,2025-10-24,22.0,best
Pork Belly,2025-10-24,21.6,best
Chuck Primal,2025-10-24,19.7,best
Blade Eyes,2025-10-24,23.0,best
Tenderloin,2025-10-25,1.7,low
Shank,2025-10-25,5.1,low
Wagyu Flat Iron,2025-10-25,0.0,low
6X6 Frenched,2025-10-25,5.3,low
Plate,2025-10-25,4.8,low
Flank,2025-10-25,5.0,low
Bone-in Ribeye,2025-10-25,11.6,medium
Brisket,2025-10-25,11.2,medium
Pork Shoulder,2025-10-25,8.6,medium
Top Sirloin Butt,2025-10-25,9.8,medium
Round,2025-10-25,8.7,medium
Striploin Whole,2025-10-25,10.6,medium
Pork Loin,2025-10-25,22.7,best
Chuck Flat,2025-10-25,22.6,best
Pork Belly,2025-10-25,21.2,best
Chuck Primal,2025-10-25,24.4,best
Blade Eyes,2025-10-25,24.1,best
Tenderloin,2025-10-26,1.2,low
Shank,2025-10-26,3.6,low
Wagyu Flat Iron,2025-10-26,0.0,low
6X6 Frenched,2025-10-26,3.9,low
Plate,2025-10-26,1.7,low
Flank,2025-10-26,2.2,low
Bone-in Ribeye,2025-10-26,9.4,medium
Brisket,2025-10-26,9.4,medium
Pork Shoulder,2025-10-26,5.7,medium
Top Sirloin Butt,2025-10-26,7.1,medium
Round,2025-10-26,3.4,medium
Striploin Whole,2025-10-26,5.7,medium
Pork Loin,2025-10-26,14.1,best
Chuck Flat,2025-10-26,16.7,best
Pork Belly,2025-10-26,9.4,best
Chuck Primal,2025-10-26,12.2,best
Blade Eyes,2025-10-26,6.9,best
Tenderloin,2025-10-27,1.6,low
Shank,2025-10-27,5.2,low
Wagyu Flat Iron,2025-10-27,5.0,low
6X6 Frenched,2025-10-27,5.2,low
Plate,2025-10-27,4.9,low
Flank,2025-10-27,5.4,low
Bone-in Ribeye,2025-10-27,11.0,medium
Brisket,2025-10-27,11.1,medium
Pork Shoulder,2025-10-27,10.0,medium
Top Sirloin Butt,2025-10-27,10.6,medium
Round,2025-10-27,8.4,medium
Striploin Whole,2025-10-27,9.6,medium
Pork Loin,2025-10-27,24.0,best
Chuck Flat,2025-10-27,21.8,best
Pork Belly,2025-10-27,17.3,best
Chuck Primal,2025-10-27,18.5,best
Blade Eyes,2025-10-27,24.5,best
Tenderloin,2025-10-28,1.6,low
Shank,2025-10-28,5.5,low
Wagyu Flat Iron,2025-10-28,5.5,low
6X6 Frenched,2025-10-28,5.6,low
Plate,2025-10-28,5.1,low
Flank,2025-10-28,5.0,low
Bone-in Ribeye,2025-10-28,10.5,medium
Brisket,2025-10-28,10.1,medium
Pork Shoulder,2025-10-28,11.6,medium
Top Sirloin Butt,2025-10-28,10.2,medium
Round,2025-10-28,10.9,medium
Striploin Whole,2025-10-28,10.0,medium
Pork Loin,2025-10-28,20.0,best
Chuck Flat,2025-10-28,22.2,best
Pork Belly,2025-10-28,20.6,best
Chuck Primal,2025-10-28,21.8,best
Blade Eyes,2025-10-28,20.1,best
Tenderloin,2025-10-29,1.7,low
Shank,2025-10-29,5.2,low
Wagyu Flat Iron,2025-10-29,3.8,low
6X6 Frenched,2025-10-29,5.5,low
Plate,2025-10-29,5.6,low
Flank,2025-10-29,5.5,low
Bone-in Ribeye,2025-10-29,10.9,medium
Brisket,2025-10-29,9.0,medium
Pork Shoulder,2025-10-29,9.9,medium
Top Sirloin Butt,2025-10-29,11.0,medium
Round,2025-10-29,8.0,medium
Striploin Whole,2025-10-29,9.3,medium
Pork Loin,2025-10-29,20.0,best
Chuck Flat,2025-10-29,20.5,best
Pork Belly,2025-10-29,19.5,best
Chuck Primal,2025-10-29,19.8,best
Blade Eyes,2025-10-29,19.9,best
Tenderloin,2025-10-30,1.5,low
Shank,2025-10-30,5.5,low
Wagyu Flat Iron,2025-10-30,2.1,low
6X6 Frenched,2025-10-30,5.4,low
Plate,2025-10-30,5.8,low
Flank,2025-10-30,5.5,low
Bone-in Ribeye,2025-10-30,9.6,medium
Brisket,2025-10-30,10.1,medium
Pork Shoulder,2025-10-30,9.7,medium
Top Sirloin Butt,2025-10-30,10.2,medium
Round,2025-10-30,9.6,medium
Striploin Whole,2025-10-30,8.3,medium
Pork Loin,2025-10-30,22.0,best
Chuck Flat,2025-10-30,21.8,best
Pork Belly,2025-10-30,22.5,best
Chuck Primal,2025-10-30,21.4,best
Blade Eyes,2025-10-30,21.0,best
Tenderloin,2025-10-31,1.7,low
Shank,2025-10-31,5.6,low
Wagyu Flat Iron,2025-10-31,0.5,low
6X6 Frenched,2025-10-31,5.4,low
Plate,2025-10-31,5.3,low
Flank,2025-10-31,5.2,low
Bone-in Ribeye,2025-10-31,8.3,medium
Brisket,2025-10-31,9.0,medium
Pork Shoulder,2025-10-31,9.0,medium
Top Sirloin Butt,2025-10-31,10.0,medium
Round,2025-10-31,8.7,medium
Striploin Whole,2025-10-31,8.8,medium
Pork Loin,2025-10-31,20.7,best
Chuck Flat,2025-10-31,20.2,best
Pork Belly,2025-10-31,23.6,best
Chuck Primal,2025-10-31,22.6,best
Blade Eyes,2025-10-31,20.8,best
Tenderloin,2025-11-01,1.3,low
Shank,2025-11-01,5.4,low
Wagyu Flat Iron,2025-11-01,0.0,low
6X6 Frenched,2025-11-01,5.3,low
Plate,2025-11-01,4.7,low
Flank,2025-11-01,5.2,low
Bone-in Ribeye,2025-11-01,8.4,medium
Brisket,2025-11-01,9.8,medium
Pork Shoulder,2025-11-01,10.7,medium
Top Sirloin Butt,2025-11-01,10.8,medium
Round,2025-11-01,8.1,medium
Striploin Whole,2025-11-01,8.6,medium
Pork Loin,2025-11-01,21.7,best
Chuck Flat,2025-11-01,23.5,best
Pork Belly,2025-11-01,22.0,best
Chuck Primal,2025-11-01,22.4,best
Blade Eyes,2025-11-01,18.7,best
Tenderloin,2025-11-02,0.8,low
Shank,2025-11-02,3.8,low
Wagyu Flat Iron,2025-11-02,0.0,low
6X6 Frenched,2025-11-02,3.8,low
Plate,2025-11-02,1.6,low
Flank,2025-11-02,2.4,low
Bone-in Ribeye,2025-11-02,6.2,medium
Brisket,2025-11-02,7.9,medium
Pork Shoulder,2025-11-02,7.8,medium
Top Sirloin Butt,2025-11-02,8.1,medium
Round,2025-11-02,2.8,medium
Striploin Whole,2025-11-02,3.7,medium
Pork Loin,2025-11-02,13.1,best
Chuck Flat,2025-11-02,17.6,best
Pork Belly,2025-11-02,10.1,best
Chuck Primal,2025-11-02,10.2,best
Blade Eyes,2025-11-02,1.6,best
Tenderloin,2025-11-03,1.9,low
Shank,2025-11-03,5.7,low
Wagyu Flat Iron,2025-11-03,4.7,low
6X6 Frenched,2025-11-03,5.4,low
Plate,2025-11-03,4.8,low
Flank,2025-11-03,4.8,low
Bone-in Ribeye,2025-11-03,9.0,medium
Brisket,2025-11-03,10.0,medium
Pork Shoulder,2025-11-03,8.7,medium
Top Sirloin Butt,2025-11-03,9.0,medium
Round,2025-11-03,7.7,medium
Striploin Whole,2025-11-03,7.3,medium
Pork Loin,2025-11-03,20.0,best
Chuck Flat,2025-11-03,23.5,best
Pork Belly,2025-11-03,17.7,best
Chuck Primal,2025-11-03,23.5,best
Blade Eyes,2025-11-03,19.5,best
Tenderloin,2025-11-04,1.7,low
Shank,2025-11-04,5.6,low
Wagyu Flat Iron,2025-11-04,5.4,low
6X6 Frenched,2025-11-04,5.8,low
Plate,2025-11-04,5.1,low
Flank,2025-11-04,5.6,low
Bone-in Ribeye,2025-11-04,9.2,medium
Brisket,2025-11-04,10.1,medium
Pork Shoulder,2025-11-04,11.5,medium
Top Sirloin Butt,2025-11-04,8.4,medium
Round,2025-11-04,9.0,medium
Striploin Whole,2025-11-04,9.8,medium
Pork Loin,2025-11-04,21.9,best
Chuck Flat,2025-11-04,20.7,best
Pork Belly,2025-11-04,18.9,best
Chuck Primal,2025-11-04,22.3,best
Blade Eyes,2025-11-04,19.9,best
Tenderloin,2025-11-05,1.9,low
Shank,2025-11-05,5.6,low
Wagyu Flat Iron,2025-11-05,5.2,low
6X6 Frenched,2025-11-05,5.2,low
Plate,2025-11-05,5.2,low
Flank,2025-11-05,5.6,low
Bone-in Ribeye,2025-11-05,11.3,medium
Brisket,2025-11-05,9.0,medium
Pork Shoulder,2025-11-05,9.8,medium
Top Sirloin Butt,2025-11-05,9.7,medium
Round,2025-11-05,8.8,medium
Striploin Whole,2025-11-05,10.3,medium
Pork Loin,2025-11-05,21.0,best
Chuck Flat,2025-11-05,22.0,best
Pork Belly,2025-11-05,21.7,best
Chuck Primal,2025-11-05,20.3,best
Blade Eyes,2025-11-05,22.1,best
Tenderloin,2025-11-06,1.9,low
Shank,2025-11-06,5.2,low
Wagyu Flat Iron,2025-11-06,5.8,low
6X6 Frenched,2025-11-06,5.9,low
Plate,2025-11-06,5.4,low
Flank,2025-11-06,4.8,low
Bone-in Ribeye,2025-11-06,10.3,medium
Brisket,2025-11-06,8.1,medium
Pork Shoulder,2025-11-06,11.4,medium
Top Sirloin Butt,2025-11-06,11.5,medium
Round,2025-11-06,7.4,medium
Striploin Whole,2025-11-06,11.6,medium
Pork Loin,2025-11-06,20.8,best
Chuck Flat,2025-11-06,21.5,best
Pork Belly,2025-11-06,23.2,best
Chuck Primal,2025-11-06,23.9,best
Blade Eyes,2025-11-06,23.5,best
Tenderloin,2025-11-07,1.7,low
Shank,2025-11-07,5.5,low
Wagyu Flat Iron,2025-11-07,5.1,low
6X6 Frenched,2025-11-07,5.3,low
Plate,2025-11-07,5.8,low
Flank,2025-11-07,4.8,low
Bone-in Ribeye,2025-11-07,11.5,medium
Brisket,2025-11-07,9.1,medium
Pork Shoulder,2025-11-07,9.7,medium
Top Sirloin Butt,2025-11-07,10.5,medium
Round,2025-11-07,7.6,medium
Striploin Whole,2025-11-07,9.5,medium
Pork Loin,2025-11-07,23.7,best
Chuck Flat,2025-11-07,23.7,best
Pork Belly,2025-11-07,21.0,best
Chuck Primal,2025-11-07,21.0,best
Blade Eyes,2025-11-07,21.6,best
Tenderloin,2025-11-08,1.8,low
Shank,2025-11-08,5.1,low
Wagyu Flat Iron,2025-11-08,5.1,low
6X6 Frenched,2025-11-08,5.5,low
Plate,2025-11-08,5.2,low
Flank,2025-11-08,5.0,low
Bone-in Ribeye,2025-11-08,11.4,medium
Brisket,2025-11-08,7.7,medium
Pork Shoulder,2025-11-08,11.3,medium
Top Sirloin Butt,2025-11-08,8.3,medium
Round,2025-11-08,7.2,medium
Striploin Whole,2025-11-08,8.5,medium
Pork Loin,2025-11-08,22.9,best
Chuck Flat,2025-11-08,23.4,best
Pork Belly,2025-11-08,22.4,best
Chuck Primal,2025-11-08,19.4,best
Blade Eyes,2025-11-08,23.5,best
Tenderloin,2025-11-09,1.3,low
Shank,2025-11-09,3.6,low
Wagyu Flat Iron,2025-11-09,2.2,low
6X6 Frenched,2025-11-09,4.1,low
Plate,2025-11-09,2.1,low
Flank,2025-11-09,2.2,low
Bone-in Ribeye,2025-11-09,9.1,medium
Brisket,2025-11-09,5.8,medium
Pork Shoulder,2025-11-09,8.3,medium
Top Sirloin Butt,2025-11-09,5.6,medium
Round,2025-11-09,1.9,medium
Striploin Whole,2025-11-09,3.6,medium
Pork Loin,2025-11-09,14.4,best
Chuck Flat,2025-11-09,17.5,best
Pork Belly,2025-11-09,10.5,best
Chuck Primal,2025-11-09,7.3,best
Blade Eyes,2025-11-09,6.4,best
Tenderloin,2025-11-10,1.9,low
Shank,2025-11-10,5.0,low
Wagyu Flat Iron,2025-11-10,4.8,low
6X6 Frenched,2025-11-10,5.3,low
Plate,2025-11-10,5.4,low
Flank,2025-11-10,4.6,low
Bone-in Ribeye,2025-11-10,9.8,medium
Brisket,2025-11-10,4.4,medium
Pork Shoulder,2025-11-10,8.5,medium
Top Sirloin Butt,2025-11-10,3.5,medium
Round,2025-11-10,9.7,medium
Striploin Whole,2025-11-10,0.0,medium
Pork Loin,2025-11-10,23.1,best
Chuck Flat,2025-11-10,12.4,best
Pork Belly,2025-11-10,22.8,best
Chuck Primal,2025-11-10,24.3,best
Blade Eyes,2025-11-10,18.2,best
Tenderloin,2025-11-11,1.9,low
Shank,2025-11-11,5.6,low
Wagyu Flat Iron,2025-11-11,5.5,low
6X6 Frenched,2025-11-11,5.7,low
Plate,2025-11-11,5.6,low
Flank,2025-11-11,5.0,low
Bone-in Ribeye,2025-11-11,9.5,medium
Brisket,2025-11-11,3.3,medium
Pork Shoulder,2025-11-11,9.8,medium
Top Sirloin Butt,2025-11-11,2.0,medium
Round,2025-11-11,11.0,medium
Striploin Whole,2025-11-11,0.0,medium
Pork Loin,2025-11-11,24.6,best
Chuck Flat,2025-11-11,8.0,best
Pork Belly,2025-11-11,23.9,best
Chuck Primal,2025-11-11,20.2,best
Blade Eyes,2025-11-11,20.5,best
Tenderloin,2025-11-12,1.7,low
Shank,2025-11-12,5.7,low
Wagyu Flat Iron,2025-11-12,5.0,low
6X6 Frenched,2025-11-12,5.7,low
Plate,2025-11-12,5.6,low
Flank,2025-11-12,5.1,low
Bone-in Ribeye,2025-11-12,8.8,medium
Brisket,2025-11-12,11.3,medium
Pork Shoulder,2025-11-12,8.3,medium
Top Sirloin Butt,2025-11-12,0.5,medium
Round,2025-11-12,9.9,medium
Striploin Whole,2025-11-12,0.0,medium
Pork Loin,2025-11-12,21.7,best
Chuck Flat,2025-11-12,3.7,best
Pork Belly,2025-11-12,22.6,best
Chuck Primal,2025-11-12,21.7,best
Blade Eyes,2025-11-12,20.9,best
Tenderloin,2025-11-13,1.4,low
Shank,2025-11-13,5.8,low
Wagyu Flat Iron,2025-11-13,5.3,low
6X6 Frenched,2025-11-13,5.8,low
Plate,2025-11-13,4.9,low
Flank,2025-11-13,5.8,low
Bone-in Ribeye,2025-11-13,8.9,medium
Brisket,2025-11-13,10.2,medium
Pork Shoulder,2025-11-13,8.2,medium
Top Sirloin Butt,2025-11-13,6.6,medium
Round,2025-11-13,10.0,medium
Striploin Whole,2025-11-13,8.1,medium
Pork Loin,2025-11-13,23.1,best
Chuck Flat,2025-11-13,0.0,best
Pork Belly,2025-11-13,19.3,best
Chuck Primal,2025-11-13,23.1,best
Blade Eyes,2025-11-13,20.0,best
Tenderloin,2025-11-14,1.2,low
Shank,2025-11-14,5.7,low
Wagyu Flat Iron,2025-11-14,5.2,low
6X6 Frenched,2025-11-14,5.4,low
Plate,2025-11-14,4.8,low
Flank,2025-11-14,5.4,low
Bone-in Ribeye,2025-11-14,7.6,medium
Brisket,2025-11-14,9.2,medium
Pork Shoulder,2025-11-14,11.2,medium
Top Sirloin Butt,2025-11-14,8.9,medium
Round,2025-11-14,11.2,medium
Striploin Whole,2025-11-14,9.3,medium
Pork Loin,2025-11-14,21.6,best
Chuck Flat,2025-11-14,19.8,best
Pork Belly,2025-11-14,20.3,best
Chuck Primal,2025-11-14,23.8,best
Blade Eyes,2025-11-14,20.3,best
Tenderloin,2025-11-15,0.8,low
Shank,2025-11-15,5.4,low
Wagyu Flat Iron,2025-11-15,5.3,low
6X6 Frenched,2025-11-15,5.5,low
Plate,2025-11-15,5.0,low
Flank,2025-11-15,5.2,low
Bone-in Ribeye,2025-11-15,5.8,medium
Brisket,2025-11-15,9.1,medium
Pork Shoulder,2025-11-15,10.7,medium
Top Sirloin Butt,2025-11-15,9.0,medium
Round,2025-11-15,10.1,medium
Striploin Whole,2025-11-15,9.3,medium
Pork Loin,2025-11-15,21.5,best
Chuck Flat,2025-11-15,22.8,best
Pork Belly,2025-11-15,21.3,best
Chuck Primal,2025-11-15,20.5,best
Blade Eyes,2025-11-15,21.3,best
Tenderloin,2025-11-16,0.3,low
Shank,2025-11-16,3.8,low
Wagyu Flat Iron,2025-11-16,2.4,low
6X6 Frenched,2025-11-16,4.1,low
Plate,2025-11-16,2.0,low
Flank,2025-11-16,2.4,low
Bone-in Ribeye,2025-11-16,3.6,medium
Brisket,2025-11-16,7.3,medium
Pork Shoulder,2025-11-16,7.7,medium
Top Sirloin Butt,2025-11-16,6.3,medium
